=== RIG ===
hand_L|world=(0.29712, 2.14477, -6.96065)|rot=(347.820, 121.143, 47.238)|view=(3.64824, -11.27739, 0.03935)
finger_index_meta_L|world=(0.31339, 2.13739, -6.92658)|rot=(349.188, 126.565, 38.645)|view=(2.27986, -5.88729, 0.07342)
finger_index_0_L|world=(0.35933, 2.08701, -6.88079)|rot=(337.324, 139.900, 48.126)|view=(1.75686, -3.74709, 0.11921)
finger_index_1_L|world=(0.39493, 2.05184, -6.87002)|rot=(319.231, 163.274, 34.503)|view=(1.76694, -3.59579, 0.12998)
finger_index_2_L|world=(0.42574, 2.03708, -6.87405)|rot=(313.838, 176.034, 25.697)|view=(1.90943, -3.81358, 0.12595)
finger_middle_meta_L|world=(0.30613, 2.12596, -6.93484)|rot=(344.281, 121.130, 49.958)|view=(2.45910, -6.82726, 0.06516)
finger_middle_0_L|world=(0.34752, 2.06616, -6.89886)|rot=(325.221, 136.795, 56.218)|view=(1.93273, -4.65866, 0.10114)
finger_middle_1_L|world=(0.39422, 2.02248, -6.89662)|rot=(304.928, 163.226, 37.093)|view=(2.08998, -4.85986, 0.10338)
finger_middle_2_L|world=(0.42959, 2.00901, -6.90611)|rot=(301.588, 172.509, 29.322)|view=(2.40774, -5.50795, 0.09389)
finger_pinky_meta_L|world=(0.30004, 2.12148, -6.96540)|rot=(336.122, 113.146, 72.957)|view=(4.11595, -13.39431, 0.03460)
finger_pinky_0_L|world=(0.33749, 2.05198, -6.95607)|rot=(312.579, 121.599, 71.675)|view=(3.70335, -11.61608, 0.04393)
finger_pinky_1_L|world=(0.37157, 2.02318, -6.96049)|rot=(305.087, 125.948, 68.279)|view=(4.42094, -13.51012, 0.03951)
finger_pinky_2_L|world=(0.39352, 2.00910, -6.96435)|rot=(299.107, 130.912, 64.067)|view=(5.10276, -15.32182, 0.03565)
finger_ring_meta_L|world=(0.30209, 2.12191, -6.94983)|rot=(340.599, 118.529, 61.644)|view=(3.01083, -9.07613, 0.05017)
finger_ring_0_L|world=(0.34139, 2.05446, -6.92727)|rot=(323.633, 127.694, 62.835)|view=(2.45728, -6.79307, 0.07273)
finger_ring_1_L|world=(0.38001, 2.01475, -6.92513)|rot=(301.909, 150.181, 45.931)|view=(2.61623, -6.97721, 0.07487)
finger_ring_2_L|world=(0.41305, 2.00091, -6.93181)|rot=(298.440, 157.648, 39.470)|view=(3.02555, -7.86007, 0.06819)
finger_thumb_0_L|world=(0.33571, 2.15350, -6.93860)|rot=(45.098, 157.186, 19.351)|view=(2.77976, -6.94285, 0.06140)
finger_thumb_1_L|world=(0.37938, 2.14039, -6.90595)|rot=(33.846, 182.115, 41.799)|view=(2.18196, -4.46248, 0.09405)
finger_thumb_2_L|world=(0.41189, 2.11666, -6.89123)|rot=(30.701, 186.120, 43.943)|view=(2.07901, -3.95268, 0.10877)
hand_R_to_L_ikrule|world=(0.27748, 2.56689, -6.64079)|rot=(314.018, 151.552, 270.135)|view=(0.82211, 0.08085, 0.35921)
